Course_ID,Course_Name,Platform,Skill,Difficulty,Duration,Certificate,Career_Path,Course_URL
CRS0041,Tableau Masterclass 1,Coursera,Tableau,Intermediate,6 Weeks,Yes,BI Developer,https://learn.example.com/tableau-1
CRS0042,Tableau Masterclass 2,Udemy,Tableau,Intermediate,8 Weeks,Yes,BI Developer,https://learn.example.com/tableau-2
CRS0043,Tableau Masterclass 3,DataCamp,Tableau,Intermediate,12 Weeks,Yes,BI Developer,https://learn.example.com/tableau-3
CRS0044,Tableau Masterclass 4,edX,Tableau,Intermediate,4 Weeks,Yes,BI Developer,https://learn.example.com/tableau-4
CRS0045,Tableau Masterclass 1,Google,Tableau,Advanced,6 Weeks,Yes,BI Developer,https://learn.example.com/tableau-1
CRS0046,Tableau Masterclass 2,IBM SkillsBuild,Tableau,Advanced,8 Weeks,Yes,BI Developer,https://learn.example.com/tableau-2
CRS0047,Tableau Masterclass 3,Microsoft Learn,Tableau,Advanced,12 Weeks,Yes,BI Developer,https://learn.example.com/tableau-3
CRS0048,Tableau Masterclass 4,AWS Skill Builder,Tableau,Advanced,4 Weeks,Yes,BI Developer,https://learn.example.com/tableau-4
CRS0049,Excel Masterclass 1,LinkedIn Learning,Excel,Beginner,6 Weeks,Yes,Business Analyst,https://learn.example.com/excel-1
CRS0050,Excel Masterclass 2,Kaggle Learn,Excel,Beginner,8 Weeks,Yes,Business Analyst,https://learn.example.com/excel-2
CRS0051,Excel Masterclass 3,Coursera,Excel,Beginner,12 Weeks,Yes,Business Analyst,https://learn.example.com/excel-3
CRS0052,Excel Masterclass 4,Udemy,Excel,Beginner,4 Weeks,Yes,Business Analyst,https://learn.example.com/excel-4
CRS0053,Excel Masterclass 1,DataCamp,Excel,Intermediate,6 Weeks,Yes,Business Analyst,https://learn.example.com/excel-1
CRS0054,Excel Masterclass 2,edX,Excel,Intermediate,8 Weeks,Yes,Business Analyst,https://learn.example.com/excel-2
CRS0055,Excel Masterclass 3,Google,Excel,Intermediate,12 Weeks,Yes,Business Analyst,https://learn.example.com/excel-3
CRS0056,Excel Masterclass 4,IBM SkillsBuild,Excel,Intermediate,4 Weeks,Yes,Business Analyst,https://learn.example.com/excel-4
CRS0057,Excel Masterclass 1,Microsoft Learn,Excel,Advanced,6 Weeks,Yes,Business Analyst,https://learn.example.com/excel-1
CRS0058,Excel Masterclass 2,AWS Skill Builder,Excel,Advanced,8 Weeks,Yes,Business Analyst,https://learn.example.com/excel-2
CRS0059,Excel Masterclass 3,LinkedIn Learning,Excel,Advanced,12 Weeks,Yes,Business Analyst,https://learn.example.com/excel-3
CRS0060,Excel Masterclass 4,Kaggle Learn,Excel,Advanced,4 Weeks,Yes,Business Analyst,https://learn.example.com/excel-4
CRS0061,Machine Learning Masterclass 1,Coursera,Machine Learning,Beginner,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-1
CRS0062,Machine Learning Masterclass 2,Udemy,Machine Learning,Beginner,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-2
CRS0063,Machine Learning Masterclass 3,DataCamp,Machine Learning,Beginner,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-3
CRS0064,Machine Learning Masterclass 4,edX,Machine Learning,Beginner,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-4
CRS0065,Machine Learning Masterclass 1,Google,Machine Learning,Intermediate,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-1
CRS0066,Machine Learning Masterclass 2,IBM SkillsBuild,Machine Learning,Intermediate,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-2
CRS0067,Machine Learning Masterclass 3,Microsoft Learn,Machine Learning,Intermediate,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-3
CRS0068,Machine Learning Masterclass 4,AWS Skill Builder,Machine Learning,Intermediate,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-4
CRS0069,Machine Learning Masterclass 1,LinkedIn Learning,Machine Learning,Advanced,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-1
CRS0070,Machine Learning Masterclass 2,Kaggle Learn,Machine Learning,Advanced,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-2
CRS0071,Machine Learning Masterclass 3,Coursera,Machine Learning,Advanced,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-3
CRS0072,Machine Learning Masterclass 4,Udemy,Machine Learning,Advanced,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/machine-learning-4
CRS0073,Deep Learning Masterclass 1,DataCamp,Deep Learning,Beginner,6 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-1
CRS0074,Deep Learning Masterclass 2,edX,Deep Learning,Beginner,8 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-2
CRS0075,Deep Learning Masterclass 3,Google,Deep Learning,Beginner,12 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-3
CRS0076,Deep Learning Masterclass 4,IBM SkillsBuild,Deep Learning,Beginner,4 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-4
CRS0077,Deep Learning Masterclass 1,Microsoft Learn,Deep Learning,Intermediate,6 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-1
CRS0078,Deep Learning Masterclass 2,AWS Skill Builder,Deep Learning,Intermediate,8 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-2
CRS0079,Deep Learning Masterclass 3,LinkedIn Learning,Deep Learning,Intermediate,12 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-3
CRS0080,Deep Learning Masterclass 4,Kaggle Learn,Deep Learning,Intermediate,4 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-4
CRS0081,Deep Learning Masterclass 1,Coursera,Deep Learning,Advanced,6 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-1
CRS0082,Deep Learning Masterclass 2,Udemy,Deep Learning,Advanced,8 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-2
CRS0083,Deep Learning Masterclass 3,DataCamp,Deep Learning,Advanced,12 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-3
CRS0084,Deep Learning Masterclass 4,edX,Deep Learning,Advanced,4 Weeks,Yes,AI Engineer,https://learn.example.com/deep-learning-4
CRS0085,TensorFlow Masterclass 1,Google,TensorFlow,Beginner,6 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-1
CRS0086,TensorFlow Masterclass 2,IBM SkillsBuild,TensorFlow,Beginner,8 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-2
CRS0087,TensorFlow Masterclass 3,Microsoft Learn,TensorFlow,Beginner,12 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-3
CRS0088,TensorFlow Masterclass 4,AWS Skill Builder,TensorFlow,Beginner,4 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-4
CRS0089,TensorFlow Masterclass 1,LinkedIn Learning,TensorFlow,Intermediate,6 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-1
CRS0090,TensorFlow Masterclass 2,Kaggle Learn,TensorFlow,Intermediate,8 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-2
CRS0091,TensorFlow Masterclass 3,Coursera,TensorFlow,Intermediate,12 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-3
CRS0092,TensorFlow Masterclass 4,Udemy,TensorFlow,Intermediate,4 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-4
CRS0093,TensorFlow Masterclass 1,DataCamp,TensorFlow,Advanced,6 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-1
CRS0094,TensorFlow Masterclass 2,edX,TensorFlow,Advanced,8 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-2
CRS0095,TensorFlow Masterclass 3,Google,TensorFlow,Advanced,12 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-3
CRS0096,TensorFlow Masterclass 4,IBM SkillsBuild,TensorFlow,Advanced,4 Weeks,Yes,AI Engineer,https://learn.example.com/tensorflow-4
CRS0097,PyTorch Masterclass 1,Microsoft Learn,PyTorch,Beginner,6 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-1
CRS0098,PyTorch Masterclass 2,AWS Skill Builder,PyTorch,Beginner,8 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-2
CRS0099,PyTorch Masterclass 3,LinkedIn Learning,PyTorch,Beginner,12 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-3
CRS0100,PyTorch Masterclass 4,Kaggle Learn,PyTorch,Beginner,4 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-4
CRS0101,PyTorch Masterclass 1,Coursera,PyTorch,Intermediate,6 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-1
CRS0102,PyTorch Masterclass 2,Udemy,PyTorch,Intermediate,8 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-2
CRS0103,PyTorch Masterclass 3,DataCamp,PyTorch,Intermediate,12 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-3
CRS0104,PyTorch Masterclass 4,edX,PyTorch,Intermediate,4 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-4
CRS0105,PyTorch Masterclass 1,Google,PyTorch,Advanced,6 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-1
CRS0106,PyTorch Masterclass 2,IBM SkillsBuild,PyTorch,Advanced,8 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-2
CRS0107,PyTorch Masterclass 3,Microsoft Learn,PyTorch,Advanced,12 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-3
CRS0108,PyTorch Masterclass 4,AWS Skill Builder,PyTorch,Advanced,4 Weeks,Yes,AI Engineer,https://learn.example.com/pytorch-4
CRS0109,Scikit-learn Masterclass 1,LinkedIn Learning,Scikit-learn,Beginner,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-1
CRS0110,Scikit-learn Masterclass 2,Kaggle Learn,Scikit-learn,Beginner,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-2
CRS0111,Scikit-learn Masterclass 3,Coursera,Scikit-learn,Beginner,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-3
CRS0112,Scikit-learn Masterclass 4,Udemy,Scikit-learn,Beginner,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-4
CRS0113,Scikit-learn Masterclass 1,DataCamp,Scikit-learn,Intermediate,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-1
CRS0114,Scikit-learn Masterclass 2,edX,Scikit-learn,Intermediate,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-2
CRS0115,Scikit-learn Masterclass 3,Google,Scikit-learn,Intermediate,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-3
CRS0116,Scikit-learn Masterclass 4,IBM SkillsBuild,Scikit-learn,Intermediate,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-4
CRS0117,Scikit-learn Masterclass 1,Microsoft Learn,Scikit-learn,Advanced,6 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-1
CRS0118,Scikit-learn Masterclass 2,AWS Skill Builder,Scikit-learn,Advanced,8 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-2
CRS0119,Scikit-learn Masterclass 3,LinkedIn Learning,Scikit-learn,Advanced,12 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-3
CRS0120,Scikit-learn Masterclass 4,Kaggle Learn,Scikit-learn,Advanced,4 Weeks,Yes,Machine Learning Engineer,https://learn.example.com/scikit-learn-4
CRS0121,Pandas Masterclass 1,Coursera,Pandas,Beginner,6 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-1
CRS0122,Pandas Masterclass 2,Udemy,Pandas,Beginner,8 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-2
CRS0123,Pandas Masterclass 3,DataCamp,Pandas,Beginner,12 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-3
CRS0124,Pandas Masterclass 4,edX,Pandas,Beginner,4 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-4
CRS0125,Pandas Masterclass 1,Google,Pandas,Intermediate,6 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-1
CRS0126,Pandas Masterclass 2,IBM SkillsBuild,Pandas,Intermediate,8 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-2
CRS0127,Pandas Masterclass 3,Microsoft Learn,Pandas,Intermediate,12 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-3
CRS0128,Pandas Masterclass 4,AWS Skill Builder,Pandas,Intermediate,4 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-4
CRS0129,Pandas Masterclass 1,LinkedIn Learning,Pandas,Advanced,6 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-1
CRS0130,Pandas Masterclass 2,Kaggle Learn,Pandas,Advanced,8 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-2
CRS0131,Pandas Masterclass 3,Coursera,Pandas,Advanced,12 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-3
CRS0132,Pandas Masterclass 4,Udemy,Pandas,Advanced,4 Weeks,Yes,Data Scientist,https://learn.example.com/pandas-4
CRS0133,NumPy Masterclass 1,DataCamp,NumPy,Beginner,6 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-1
CRS0134,NumPy Masterclass 2,edX,NumPy,Beginner,8 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-2
CRS0135,NumPy Masterclass 3,Google,NumPy,Beginner,12 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-3
CRS0136,NumPy Masterclass 4,IBM SkillsBuild,NumPy,Beginner,4 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-4
CRS0137,NumPy Masterclass 1,Microsoft Learn,NumPy,Intermediate,6 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-1
CRS0138,NumPy Masterclass 2,AWS Skill Builder,NumPy,Intermediate,8 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-2
CRS0139,NumPy Masterclass 3,LinkedIn Learning,NumPy,Intermediate,12 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-3
CRS0140,NumPy Masterclass 4,Kaggle Learn,NumPy,Intermediate,4 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-4
CRS0141,NumPy Masterclass 1,Coursera,NumPy,Advanced,6 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-1
CRS0142,NumPy Masterclass 2,Udemy,NumPy,Advanced,8 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-2
CRS0143,NumPy Masterclass 3,DataCamp,NumPy,Advanced,12 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-3
CRS0144,NumPy Masterclass 4,edX,NumPy,Advanced,4 Weeks,Yes,Data Scientist,https://learn.example.com/numpy-4
CRS0145,Statistics Masterclass 1,Google,Statistics,Beginner,6 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-1
CRS0146,Statistics Masterclass 2,IBM SkillsBuild,Statistics,Beginner,8 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-2
CRS0147,Statistics Masterclass 3,Microsoft Learn,Statistics,Beginner,12 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-3
CRS0148,Statistics Masterclass 4,AWS Skill Builder,Statistics,Beginner,4 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-4
CRS0149,Statistics Masterclass 1,LinkedIn Learning,Statistics,Intermediate,6 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-1
CRS0150,Statistics Masterclass 2,Kaggle Learn,Statistics,Intermediate,8 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-2
CRS0151,Statistics Masterclass 3,Coursera,Statistics,Intermediate,12 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-3
CRS0152,Statistics Masterclass 4,Udemy,Statistics,Intermediate,4 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-4
CRS0153,Statistics Masterclass 1,DataCamp,Statistics,Advanced,6 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-1
CRS0154,Statistics Masterclass 2,edX,Statistics,Advanced,8 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-2
CRS0155,Statistics Masterclass 3,Google,Statistics,Advanced,12 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-3
CRS0156,Statistics Masterclass 4,IBM SkillsBuild,Statistics,Advanced,4 Weeks,Yes,Data Scientist,https://learn.example.com/statistics-4
CRS0157,Data Visualization Masterclass 1,Microsoft Learn,Data Visualization,Beginner,6 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-1
CRS0158,Data Visualization Masterclass 2,AWS Skill Builder,Data Visualization,Beginner,8 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-2
CRS0159,Data Visualization Masterclass 3,LinkedIn Learning,Data Visualization,Beginner,12 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-3
CRS0160,Data Visualization Masterclass 4,Kaggle Learn,Data Visualization,Beginner,4 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-4
CRS0161,Data Visualization Masterclass 1,Coursera,Data Visualization,Intermediate,6 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-1
CRS0162,Data Visualization Masterclass 2,Udemy,Data Visualization,Intermediate,8 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-2
CRS0163,Data Visualization Masterclass 3,DataCamp,Data Visualization,Intermediate,12 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-3
CRS0164,Data Visualization Masterclass 4,edX,Data Visualization,Intermediate,4 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-4
CRS0165,Data Visualization Masterclass 1,Google,Data Visualization,Advanced,6 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-1
CRS0166,Data Visualization Masterclass 2,IBM SkillsBuild,Data Visualization,Advanced,8 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-2
CRS0167,Data Visualization Masterclass 3,Microsoft Learn,Data Visualization,Advanced,12 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-3
CRS0168,Data Visualization Masterclass 4,AWS Skill Builder,Data Visualization,Advanced,4 Weeks,Yes,Data Analyst,https://learn.example.com/data-visualization-4
CRS0169,AWS Masterclass 1,LinkedIn Learning,AWS,Beginner,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-1
CRS0170,AWS Masterclass 2,Kaggle Learn,AWS,Beginner,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-2
CRS0171,AWS Masterclass 3,Coursera,AWS,Beginner,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-3
CRS0172,AWS Masterclass 4,Udemy,AWS,Beginner,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-4
CRS0173,AWS Masterclass 1,DataCamp,AWS,Intermediate,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-1
CRS0174,AWS Masterclass 2,edX,AWS,Intermediate,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-2
CRS0175,AWS Masterclass 3,Google,AWS,Intermediate,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-3
CRS0176,AWS Masterclass 4,IBM SkillsBuild,AWS,Intermediate,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-4
CRS0177,AWS Masterclass 1,Microsoft Learn,AWS,Advanced,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-1
CRS0178,AWS Masterclass 2,AWS Skill Builder,AWS,Advanced,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-2
CRS0179,AWS Masterclass 3,LinkedIn Learning,AWS,Advanced,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-3
CRS0180,AWS Masterclass 4,Kaggle Learn,AWS,Advanced,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/aws-4
CRS0181,Azure Masterclass 1,Coursera,Azure,Beginner,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-1
CRS0182,Azure Masterclass 2,Udemy,Azure,Beginner,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-2
CRS0183,Azure Masterclass 3,DataCamp,Azure,Beginner,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-3
CRS0184,Azure Masterclass 4,edX,Azure,Beginner,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-4
CRS0185,Azure Masterclass 1,Google,Azure,Intermediate,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-1
CRS0186,Azure Masterclass 2,IBM SkillsBuild,Azure,Intermediate,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-2
CRS0187,Azure Masterclass 3,Microsoft Learn,Azure,Intermediate,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-3
CRS0188,Azure Masterclass 4,AWS Skill Builder,Azure,Intermediate,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-4
CRS0189,Azure Masterclass 1,LinkedIn Learning,Azure,Advanced,6 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-1
CRS0190,Azure Masterclass 2,Kaggle Learn,Azure,Advanced,8 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-2
CRS0191,Azure Masterclass 3,Coursera,Azure,Advanced,12 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-3
CRS0192,Azure Masterclass 4,Udemy,Azure,Advanced,4 Weeks,Yes,Cloud Engineer,https://learn.example.com/azure-4
CRS0193,Docker Masterclass 1,DataCamp,Docker,Beginner,6 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-1
CRS0194,Docker Masterclass 2,edX,Docker,Beginner,8 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-2
CRS0195,Docker Masterclass 3,Google,Docker,Beginner,12 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-3
CRS0196,Docker Masterclass 4,IBM SkillsBuild,Docker,Beginner,4 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-4
CRS0197,Docker Masterclass 1,Microsoft Learn,Docker,Intermediate,6 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-1
CRS0198,Docker Masterclass 2,AWS Skill Builder,Docker,Intermediate,8 Weeks,Yes,DevOps Engineer,https://learn.example.com/docker-2
