Keyword_ID,Keyword,Category,Importance,Weight,Mandatory,Synonym,Industry
ATS0096,Transformers,AI & NLP,Optional,4,No,HF Transformers,"IT, AI & Data Science"
ATS0097,BERT,AI & NLP,Mandatory,10,Yes,Bidirectional Encoder Representations,"IT, AI & Data Science"
ATS0098,BERT,AI & NLP,Important,8,No,Bidirectional Encoder Representations,"IT, AI & Data Science"
ATS0099,BERT,AI & NLP,Preferred,6,No,Bidirectional Encoder Representations,"IT, AI & Data Science"
ATS0100,BERT,AI & NLP,Optional,4,No,Bidirectional Encoder Representations,"IT, AI & Data Science"
ATS0101,LLMs,AI & NLP,Mandatory,10,Yes,Large Language Models,"IT, AI & Data Science"
ATS0102,LLMs,AI & NLP,Important,8,No,Large Language Models,"IT, AI & Data Science"
ATS0103,LLMs,AI & NLP,Preferred,6,No,Large Language Models,"IT, AI & Data Science"
ATS0104,LLMs,AI & NLP,Optional,4,No,Large Language Models,"IT, AI & Data Science"
ATS0105,Prompt Engineering,AI & NLP,Mandatory,10,Yes,Prompt Design,"IT, AI & Data Science"
ATS0106,Prompt Engineering,AI & NLP,Important,8,No,Prompt Design,"IT, AI & Data Science"
ATS0107,Prompt Engineering,AI & NLP,Preferred,6,No,Prompt Design,"IT, AI & Data Science"
ATS0108,Prompt Engineering,AI & NLP,Optional,4,No,Prompt Design,"IT, AI & Data Science"
ATS0109,RAG,AI & NLP,Mandatory,10,Yes,Retrieval-Augmented Generation,"IT, AI & Data Science"
ATS0110,RAG,AI & NLP,Important,8,No,Retrieval-Augmented Generation,"IT, AI & Data Science"
ATS0111,RAG,AI & NLP,Preferred,6,No,Retrieval-Augmented Generation,"IT, AI & Data Science"
ATS0112,RAG,AI & NLP,Optional,4,No,Retrieval-Augmented Generation,"IT, AI & Data Science"
ATS0113,Hugging Face,AI & NLP,Mandatory,10,Yes,HF,"IT, AI & Data Science"
ATS0114,Hugging Face,AI & NLP,Important,8,No,HF,"IT, AI & Data Science"
ATS0115,Hugging Face,AI & NLP,Preferred,6,No,HF,"IT, AI & Data Science"
ATS0116,Hugging Face,AI & NLP,Optional,4,No,HF,"IT, AI & Data Science"
ATS0117,Gemini API,AI & NLP,Mandatory,10,Yes,Google Gemini,"IT, AI & Data Science"
ATS0118,Gemini API,AI & NLP,Important,8,No,Google Gemini,"IT, AI & Data Science"
ATS0119,Gemini API,AI & NLP,Preferred,6,No,Google Gemini,"IT, AI & Data Science"
ATS0120,Gemini API,AI & NLP,Optional,4,No,Google Gemini,"IT, AI & Data Science"
ATS0121,OpenAI API,AI & NLP,Mandatory,10,Yes,ChatGPT API,"IT, AI & Data Science"
ATS0122,OpenAI API,AI & NLP,Important,8,No,ChatGPT API,"IT, AI & Data Science"
ATS0123,OpenAI API,AI & NLP,Preferred,6,No,ChatGPT API,"IT, AI & Data Science"
ATS0124,OpenAI API,AI & NLP,Optional,4,No,ChatGPT API,"IT, AI & Data Science"
ATS0125,AWS,Cloud & DevOps,Mandatory,10,Yes,Amazon Web Services,"IT, AI & Data Science"
ATS0126,AWS,Cloud & DevOps,Important,8,No,Amazon Web Services,"IT, AI & Data Science"
ATS0127,AWS,Cloud & DevOps,Preferred,6,No,Amazon Web Services,"IT, AI & Data Science"
ATS0128,AWS,Cloud & DevOps,Optional,4,No,Amazon Web Services,"IT, AI & Data Science"
ATS0129,Azure,Cloud & DevOps,Mandatory,10,Yes,Microsoft Azure,"IT, AI & Data Science"
ATS0130,Azure,Cloud & DevOps,Important,8,No,Microsoft Azure,"IT, AI & Data Science"
ATS0131,Azure,Cloud & DevOps,Preferred,6,No,Microsoft Azure,"IT, AI & Data Science"
ATS0132,Azure,Cloud & DevOps,Optional,4,No,Microsoft Azure,"IT, AI & Data Science"
ATS0133,GCP,Cloud & DevOps,Mandatory,10,Yes,Google Cloud Platform,"IT, AI & Data Science"
ATS0134,GCP,Cloud & DevOps,Important,8,No,Google Cloud Platform,"IT, AI & Data Science"
ATS0135,GCP,Cloud & DevOps,Preferred,6,No,Google Cloud Platform,"IT, AI & Data Science"
ATS0136,GCP,Cloud & DevOps,Optional,4,No,Google Cloud Platform,"IT, AI & Data Science"
ATS0137,Docker,Cloud & DevOps,Mandatory,10,Yes,Containers,"IT, AI & Data Science"
ATS0138,Docker,Cloud & DevOps,Important,8,No,Containers,"IT, AI & Data Science"
ATS0139,Docker,Cloud & DevOps,Preferred,6,No,Containers,"IT, AI & Data Science"
ATS0140,Docker,Cloud & DevOps,Optional,4,No,Containers,"IT, AI & Data Science"
ATS0141,Kubernetes,Cloud & DevOps,Mandatory,10,Yes,K8s,"IT, AI & Data Science"
ATS0142,Kubernetes,Cloud & DevOps,Important,8,No,K8s,"IT, AI & Data Science"
ATS0143,Kubernetes,Cloud & DevOps,Preferred,6,No,K8s,"IT, AI & Data Science"
ATS0144,Kubernetes,Cloud & DevOps,Optional,4,No,K8s,"IT, AI & Data Science"
ATS0145,Git,Cloud & DevOps,Mandatory,10,Yes,Version Control,"IT, AI & Data Science"
ATS0146,Git,Cloud & DevOps,Important,8,No,Version Control,"IT, AI & Data Science"
ATS0147,Git,Cloud & DevOps,Preferred,6,No,Version Control,"IT, AI & Data Science"
ATS0148,Git,Cloud & DevOps,Optional,4,No,Version Control,"IT, AI & Data Science"
ATS0149,GitHub,Cloud & DevOps,Mandatory,10,Yes,Git Repository,"IT, AI & Data Science"
ATS0150,GitHub,Cloud & DevOps,Important,8,No,Git Repository,"IT, AI & Data Science"
ATS0151,GitHub,Cloud & DevOps,Preferred,6,No,Git Repository,"IT, AI & Data Science"
ATS0152,GitHub,Cloud & DevOps,Optional,4,No,Git Repository,"IT, AI & Data Science"
ATS0153,CI/CD,Cloud & DevOps,Mandatory,10,Yes,"Continuous Integration, Continuous Deployment","IT, AI & Data Science"
ATS0154,CI/CD,Cloud & DevOps,Important,8,No,"Continuous Integration, Continuous Deployment","IT, AI & Data Science"
ATS0155,CI/CD,Cloud & DevOps,Preferred,6,No,"Continuous Integration, Continuous Deployment","IT, AI & Data Science"
ATS0156,CI/CD,Cloud & DevOps,Optional,4,No,"Continuous Integration, Continuous Deployment","IT, AI & Data Science"
ATS0157,Linux,Cloud & DevOps,Mandatory,10,Yes,Unix,"IT, AI & Data Science"
ATS0158,Linux,Cloud & DevOps,Important,8,No,Unix,"IT, AI & Data Science"
ATS0159,Linux,Cloud & DevOps,Preferred,6,No,Unix,"IT, AI & Data Science"
ATS0160,Linux,Cloud & DevOps,Optional,4,No,Unix,"IT, AI & Data Science"
ATS0161,Terraform,Cloud & DevOps,Mandatory,10,Yes,Infrastructure as Code,"IT, AI & Data Science"
ATS0162,Terraform,Cloud & DevOps,Important,8,No,Infrastructure as Code,"IT, AI & Data Science"
ATS0163,Terraform,Cloud & DevOps,Preferred,6,No,Infrastructure as Code,"IT, AI & Data Science"
ATS0164,Terraform,Cloud & DevOps,Optional,4,No,Infrastructure as Code,"IT, AI & Data Science"
ATS0165,MySQL,Databases,Mandatory,10,Yes,My SQL,"IT, AI & Data Science"
ATS0166,MySQL,Databases,Important,8,No,My SQL,"IT, AI & Data Science"
ATS0167,MySQL,Databases,Preferred,6,No,My SQL,"IT, AI & Data Science"
ATS0168,MySQL,Databases,Optional,4,No,My SQL,"IT, AI & Data Science"
ATS0169,PostgreSQL,Databases,Mandatory,10,Yes,Postgres,"IT, AI & Data Science"
ATS0170,PostgreSQL,Databases,Important,8,No,Postgres,"IT, AI & Data Science"
ATS0171,PostgreSQL,Databases,Preferred,6,No,Postgres,"IT, AI & Data Science"
ATS0172,PostgreSQL,Databases,Optional,4,No,Postgres,"IT, AI & Data Science"
ATS0173,MongoDB,Databases,Mandatory,10,Yes,Mongo,"IT, AI & Data Science"
ATS0174,MongoDB,Databases,Important,8,No,Mongo,"IT, AI & Data Science"
ATS0175,MongoDB,Databases,Preferred,6,No,Mongo,"IT, AI & Data Science"
ATS0176,MongoDB,Databases,Optional,4,No,Mongo,"IT, AI & Data Science"
ATS0177,SQLite,Databases,Mandatory,10,Yes,SQLite3,"IT, AI & Data Science"
ATS0178,SQLite,Databases,Important,8,No,SQLite3,"IT, AI & Data Science"
ATS0179,SQLite,Databases,Preferred,6,No,SQLite3,"IT, AI & Data Science"
ATS0180,SQLite,Databases,Optional,4,No,SQLite3,"IT, AI & Data Science"
ATS0181,Oracle,Databases,Mandatory,10,Yes,Oracle DB,"IT, AI & Data Science"
ATS0182,Oracle,Databases,Important,8,No,Oracle DB,"IT, AI & Data Science"
ATS0183,Oracle,Databases,Preferred,6,No,Oracle DB,"IT, AI & Data Science"
ATS0184,Oracle,Databases,Optional,4,No,Oracle DB,"IT, AI & Data Science"
ATS0185,Redis,Databases,Mandatory,10,Yes,In-memory Database,"IT, AI & Data Science"
ATS0186,Redis,Databases,Important,8,No,In-memory Database,"IT, AI & Data Science"
ATS0187,Redis,Databases,Preferred,6,No,In-memory Database,"IT, AI & Data Science"
ATS0188,Redis,Databases,Optional,4,No,In-memory Database,"IT, AI & Data Science"
ATS0189,Communication,Soft Skills,Mandatory,10,Yes,Verbal Communication,"IT, AI & Data Science"
ATS0190,Communication,Soft Skills,Important,8,No,Verbal Communication,"IT, AI & Data Science"
ATS0191,Communication,Soft Skills,Preferred,6,No,Verbal Communication,"IT, AI & Data Science"
ATS0192,Communication,Soft Skills,Optional,4,No,Verbal Communication,"IT, AI & Data Science"
ATS0193,Leadership,Soft Skills,Mandatory,10,Yes,People Management,"IT, AI & Data Science"
ATS0194,Leadership,Soft Skills,Important,8,No,People Management,"IT, AI & Data Science"
ATS0195,Leadership,Soft Skills,Preferred,6,No,People Management,"IT, AI & Data Science"
ATS0196,Leadership,Soft Skills,Optional,4,No,People Management,"IT, AI & Data Science"
ATS0197,Problem Solving,Soft Skills,Mandatory,10,Yes,Analytical Thinking,"IT, AI & Data Science"
ATS0198,Problem Solving,Soft Skills,Important,8,No,Analytical Thinking,"IT, AI & Data Science"
ATS0199,Problem Solving,Soft Skills,Preferred,6,No,Analytical Thinking,"IT, AI & Data Science"
ATS0200,Problem Solving,Soft Skills,Optional,4,No,Analytical Thinking,"IT, AI & Data Science"
ATS0201,Critical Thinking,Soft Skills,Mandatory,10,Yes,Logical Thinking,"IT, AI & Data Science"
ATS0202,Critical Thinking,Soft Skills,Important,8,No,Logical Thinking,"IT, AI & Data Science"
ATS0203,Critical Thinking,Soft Skills,Preferred,6,No,Logical Thinking,"IT, AI & Data Science"
ATS0204,Critical Thinking,Soft Skills,Optional,4,No,Logical Thinking,"IT, AI & Data Science"
ATS0205,Teamwork,Soft Skills,Mandatory,10,Yes,Collaboration,"IT, AI & Data Science"
ATS0206,Teamwork,Soft Skills,Important,8,No,Collaboration,"IT, AI & Data Science"
ATS0207,Teamwork,Soft Skills,Preferred,6,No,Collaboration,"IT, AI & Data Science"
ATS0208,Teamwork,Soft Skills,Optional,4,No,Collaboration,"IT, AI & Data Science"
ATS0209,Presentation,Soft Skills,Mandatory,10,Yes,Presentation Skills,"IT, AI & Data Science"
ATS0210,Presentation,Soft Skills,Important,8,No,Presentation Skills,"IT, AI & Data Science"
ATS0211,Presentation,Soft Skills,Preferred,6,No,Presentation Skills,"IT, AI & Data Science"
ATS0212,Presentation,Soft Skills,Optional,4,No,Presentation Skills,"IT, AI & Data Science"
ATS0213,Time Management,Soft Skills,Mandatory,10,Yes,Task Management,"IT, AI & Data Science"
ATS0214,Time Management,Soft Skills,Important,8,No,Task Management,"IT, AI & Data Science"
ATS0215,Time Management,Soft Skills,Preferred,6,No,Task Management,"IT, AI & Data Science"
ATS0216,Time Management,Soft Skills,Optional,4,No,Task Management,"IT, AI & Data Science"
ATS0217,Adaptability,Soft Skills,Mandatory,10,Yes,Flexibility,"IT, AI & Data Science"
ATS0218,Adaptability,Soft Skills,Important,8,No,Flexibility,"IT, AI & Data Science"
ATS0219,Adaptability,Soft Skills,Preferred,6,No,Flexibility,"IT, AI & Data Science"
ATS0220,Adaptability,Soft Skills,Optional,4,No,Flexibility,"IT, AI & Data Science"
