Salary_ID,Job_Role,Location,Company_Type,Experience,Minimum_Salary_LPA,Maximum_Salary_LPA,Average_Salary_LPA,Required_Skills,Education,Employment_Type
SAL0014,Machine Learning Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0015,Machine Learning Engineer,Noida,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0016,AI Engineer,Remote,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0017,AI Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0018,AI Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0019,AI Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0020,AI Engineer,Pune,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0021,Data Engineer,Mumbai,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0022,Data Engineer,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0023,Data Engineer,Noida,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0024,Data Engineer,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0025,Data Engineer,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0026,BI Developer,Hyderabad,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0027,BI Developer,Chennai,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0028,BI Developer,Pune,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0029,BI Developer,Mumbai,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0030,BI Developer,Delhi,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0031,Python Developer,Noida,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0032,Python Developer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0033,Python Developer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0034,Python Developer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0035,Python Developer,Chennai,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0036,Backend Developer,Pune,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0037,Backend Developer,Mumbai,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0038,Backend Developer,Delhi,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0039,Backend Developer,Noida,Product Company,4-6 Years,12,22,17.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0040,Backend Developer,Remote,Consulting,6+ Years,18,35,26.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0041,Full Stack Developer,Bengaluru,Startup,Fresher,3,6,4.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0042,Full Stack Developer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0043,Full Stack Developer,Chennai,MNC,2-4 Years,8,15,11.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0044,Full Stack Developer,Pune,Product Company,4-6 Years,12,22,17.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0045,Full Stack Developer,Mumbai,Consulting,6+ Years,18,35,26.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0046,Cloud Engineer,Delhi,Startup,Fresher,3,6,4.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0047,Cloud Engineer,Noida,Mid-size,0-2 Years,5,9,7.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0048,Cloud Engineer,Remote,MNC,2-4 Years,8,15,11.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0049,Cloud Engineer,Bengaluru,Product Company,4-6 Years,12,22,17.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0050,Cloud Engineer,Hyderabad,Consulting,6+ Years,18,35,26.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0051,DevOps Engineer,Chennai,Startup,Fresher,3,6,4.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0052,DevOps Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0053,DevOps Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0054,DevOps Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0055,DevOps Engineer,Noida,Consulting,6+ Years,18,35,26.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0056,NLP Engineer,Remote,Startup,Fresher,3,6,4.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0057,NLP Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0058,NLP Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0059,NLP Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0060,NLP Engineer,Pune,Consulting,6+ Years,18,35,26.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0061,Data Analyst,Mumbai,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0062,Data Analyst,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0063,Data Analyst,Noida,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0064,Data Analyst,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0065,Data Analyst,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0066,Data Scientist,Hyderabad,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0067,Data Scientist,Chennai,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0068,Data Scientist,Pune,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0069,Data Scientist,Mumbai,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0070,Data Scientist,Delhi,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0071,Machine Learning Engineer,Noida,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0072,Machine Learning Engineer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0073,Machine Learning Engineer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0074,Machine Learning Engineer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0075,Machine Learning Engineer,Chennai,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0076,AI Engineer,Pune,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0077,AI Engineer,Mumbai,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0078,AI Engineer,Delhi,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0079,AI Engineer,Noida,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0080,AI Engineer,Remote,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0081,Data Engineer,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0082,Data Engineer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0083,Data Engineer,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0084,Data Engineer,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0085,Data Engineer,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0086,BI Developer,Delhi,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0087,BI Developer,Noida,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0088,BI Developer,Remote,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0089,BI Developer,Bengaluru,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0090,BI Developer,Hyderabad,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0091,Python Developer,Chennai,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0092,Python Developer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0093,Python Developer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0094,Python Developer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0095,Python Developer,Noida,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0096,Backend Developer,Remote,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0097,Backend Developer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0098,Backend Developer,Hyderabad,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0099,Backend Developer,Chennai,Product Company,4-6 Years,12,22,17.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0100,Backend Developer,Pune,Consulting,6+ Years,18,35,26.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0101,Full Stack Developer,Mumbai,Startup,Fresher,3,6,4.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0102,Full Stack Developer,Delhi,Mid-size,0-2 Years,5,9,7.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0103,Full Stack Developer,Noida,MNC,2-4 Years,8,15,11.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0104,Full Stack Developer,Remote,Product Company,4-6 Years,12,22,17.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0105,Full Stack Developer,Bengaluru,Consulting,6+ Years,18,35,26.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0106,Cloud Engineer,Hyderabad,Startup,Fresher,3,6,4.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0107,Cloud Engineer,Chennai,Mid-size,0-2 Years,5,9,7.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0108,Cloud Engineer,Pune,MNC,2-4 Years,8,15,11.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0109,Cloud Engineer,Mumbai,Product Company,4-6 Years,12,22,17.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0110,Cloud Engineer,Delhi,Consulting,6+ Years,18,35,26.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0111,DevOps Engineer,Noida,Startup,Fresher,3,6,4.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0112,DevOps Engineer,Remote,Mid-size,0-2 Years,5,9,7.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0113,DevOps Engineer,Bengaluru,MNC,2-4 Years,8,15,11.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0114,DevOps Engineer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0115,DevOps Engineer,Chennai,Consulting,6+ Years,18,35,26.5,Docker;Kubernetes;CI/CD;AWS,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0116,NLP Engineer,Pune,Startup,Fresher,3,6,4.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0117,NLP Engineer,Mumbai,Mid-size,0-2 Years,5,9,7.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0118,NLP Engineer,Delhi,MNC,2-4 Years,8,15,11.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0119,NLP Engineer,Noida,Product Company,4-6 Years,12,22,17.0,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0120,NLP Engineer,Remote,Consulting,6+ Years,18,35,26.5,Python;spaCy;Transformers;NLP,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0121,Data Analyst,Bengaluru,Startup,Fresher,3,6,4.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0122,Data Analyst,Hyderabad,Mid-size,0-2 Years,5,9,7.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0123,Data Analyst,Chennai,MNC,2-4 Years,8,15,11.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0124,Data Analyst,Pune,Product Company,4-6 Years,12,22,17.0,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0125,Data Analyst,Mumbai,Consulting,6+ Years,18,35,26.5,SQL;Excel;Power BI;Python,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0126,Data Scientist,Delhi,Startup,Fresher,3,6,4.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0127,Data Scientist,Noida,Mid-size,0-2 Years,5,9,7.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0128,Data Scientist,Remote,MNC,2-4 Years,8,15,11.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0129,Data Scientist,Bengaluru,Product Company,4-6 Years,12,22,17.0,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0130,Data Scientist,Hyderabad,Consulting,6+ Years,18,35,26.5,Python;Machine Learning;Statistics;Scikit-learn,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0131,Machine Learning Engineer,Chennai,Startup,Fresher,3,6,4.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0132,Machine Learning Engineer,Pune,Mid-size,0-2 Years,5,9,7.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0133,Machine Learning Engineer,Mumbai,MNC,2-4 Years,8,15,11.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0134,Machine Learning Engineer,Delhi,Product Company,4-6 Years,12,22,17.0,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0135,Machine Learning Engineer,Noida,Consulting,6+ Years,18,35,26.5,Python;TensorFlow;PyTorch;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0136,AI Engineer,Remote,Startup,Fresher,3,6,4.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0137,AI Engineer,Bengaluru,Mid-size,0-2 Years,5,9,7.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0138,AI Engineer,Hyderabad,MNC,2-4 Years,8,15,11.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0139,AI Engineer,Chennai,Product Company,4-6 Years,12,22,17.0,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0140,AI Engineer,Pune,Consulting,6+ Years,18,35,26.5,LLMs;Prompt Engineering;Python;Transformers,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0141,Data Engineer,Mumbai,Startup,Fresher,3,6,4.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0142,Data Engineer,Delhi,Mid-size,0-2 Years,5,9,7.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0143,Data Engineer,Noida,MNC,2-4 Years,8,15,11.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0144,Data Engineer,Remote,Product Company,4-6 Years,12,22,17.0,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0145,Data Engineer,Bengaluru,Consulting,6+ Years,18,35,26.5,SQL;Spark;ETL;Airflow,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0146,BI Developer,Hyderabad,Startup,Fresher,3,6,4.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0147,BI Developer,Chennai,Mid-size,0-2 Years,5,9,7.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0148,BI Developer,Pune,MNC,2-4 Years,8,15,11.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0149,BI Developer,Mumbai,Product Company,4-6 Years,12,22,17.0,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0150,BI Developer,Delhi,Consulting,6+ Years,18,35,26.5,Power BI;SQL;DAX;Excel,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0151,Python Developer,Noida,Startup,Fresher,3,6,4.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0152,Python Developer,Remote,Mid-size,0-2 Years,5,9,7.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0153,Python Developer,Bengaluru,MNC,2-4 Years,8,15,11.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0154,Python Developer,Hyderabad,Product Company,4-6 Years,12,22,17.0,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0155,Python Developer,Chennai,Consulting,6+ Years,18,35,26.5,Python;Flask;FastAPI;Git,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0156,Backend Developer,Pune,Startup,Fresher,3,6,4.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0157,Backend Developer,Mumbai,Mid-size,0-2 Years,5,9,7.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0158,Backend Developer,Delhi,MNC,2-4 Years,8,15,11.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0159,Backend Developer,Noida,Product Company,4-6 Years,12,22,17.0,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0160,Backend Developer,Remote,Consulting,6+ Years,18,35,26.5,Python;FastAPI;PostgreSQL;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0161,Full Stack Developer,Bengaluru,Startup,Fresher,3,6,4.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0162,Full Stack Developer,Hyderabad,Mid-size,0-2 Years,5,9,7.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0163,Full Stack Developer,Chennai,MNC,2-4 Years,8,15,11.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0164,Full Stack Developer,Pune,Product Company,4-6 Years,12,22,17.0,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0165,Full Stack Developer,Mumbai,Consulting,6+ Years,18,35,26.5,React;Node.js;JavaScript;SQL,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0166,Cloud Engineer,Delhi,Startup,Fresher,3,6,4.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0167,Cloud Engineer,Noida,Mid-size,0-2 Years,5,9,7.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0168,Cloud Engineer,Remote,MNC,2-4 Years,8,15,11.5,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
SAL0169,Cloud Engineer,Bengaluru,Product Company,4-6 Years,12,22,17.0,AWS;Linux;Terraform;Docker,B.E/B.Tech/M.Tech/MCA,Full Time
