Skill_ID,Skill_Name,Category,Difficulty_Level,Demand_Level,Technology_Type,Industry,Importance_Score
SK0059,PHP,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",78
SK0060,PHP,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",79
SK0061,Kotlin,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",80
SK0062,Kotlin,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",81
SK0063,Kotlin,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",82
SK0064,Kotlin,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",83
SK0065,Kotlin,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",84
SK0066,Kotlin,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",85
SK0067,Swift,Programming Languages,Beginner,Medium,Technical,"IT, AI & Data Science",86
SK0068,Swift,Programming Languages,Intermediate,Medium,Technical,"IT, AI & Data Science",87
SK0069,Swift,Programming Languages,Advanced,Medium,Technical,"IT, AI & Data Science",88
SK0070,Swift,Programming Languages,Expert,High,Technical,"IT, AI & Data Science",89
SK0071,Swift,Programming Languages,Industry Standard,High,Technical,"IT, AI & Data Science",90
SK0072,Swift,Programming Languages,High Demand,High,Technical,"IT, AI & Data Science",91
SK0073,Pandas,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",92
SK0074,Pandas,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",93
SK0075,Pandas,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",94
SK0076,Pandas,Data Science,Expert,High,Technical,"IT, AI & Data Science",95
SK0077,Pandas,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",96
SK0078,Pandas,Data Science,High Demand,High,Technical,"IT, AI & Data Science",97
SK0079,NumPy,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",98
SK0080,NumPy,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",99
SK0081,NumPy,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",100
SK0082,NumPy,Data Science,Expert,High,Technical,"IT, AI & Data Science",60
SK0083,NumPy,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",61
SK0084,NumPy,Data Science,High Demand,High,Technical,"IT, AI & Data Science",62
SK0085,Scikit-learn,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",63
SK0086,Scikit-learn,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",64
SK0087,Scikit-learn,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",65
SK0088,Scikit-learn,Data Science,Expert,High,Technical,"IT, AI & Data Science",66
SK0089,Scikit-learn,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",67
SK0090,Scikit-learn,Data Science,High Demand,High,Technical,"IT, AI & Data Science",68
SK0091,TensorFlow,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",69
SK0092,TensorFlow,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",70
SK0093,TensorFlow,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",71
SK0094,TensorFlow,Data Science,Expert,High,Technical,"IT, AI & Data Science",72
SK0095,TensorFlow,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",73
SK0096,TensorFlow,Data Science,High Demand,High,Technical,"IT, AI & Data Science",74
SK0097,PyTorch,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",75
SK0098,PyTorch,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",76
SK0099,PyTorch,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",77
SK0100,PyTorch,Data Science,Expert,High,Technical,"IT, AI & Data Science",78
SK0101,PyTorch,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",79
SK0102,PyTorch,Data Science,High Demand,High,Technical,"IT, AI & Data Science",80
SK0103,XGBoost,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",81
SK0104,XGBoost,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",82
SK0105,XGBoost,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",83
SK0106,XGBoost,Data Science,Expert,High,Technical,"IT, AI & Data Science",84
SK0107,XGBoost,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",85
SK0108,XGBoost,Data Science,High Demand,High,Technical,"IT, AI & Data Science",86
SK0109,LightGBM,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",87
SK0110,LightGBM,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",88
SK0111,LightGBM,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",89
SK0112,LightGBM,Data Science,Expert,High,Technical,"IT, AI & Data Science",90
SK0113,LightGBM,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",91
SK0114,LightGBM,Data Science,High Demand,High,Technical,"IT, AI & Data Science",92
SK0115,EDA,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",93
SK0116,EDA,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",94
SK0117,EDA,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",95
SK0118,EDA,Data Science,Expert,High,Technical,"IT, AI & Data Science",96
SK0119,EDA,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",97
SK0120,EDA,Data Science,High Demand,High,Technical,"IT, AI & Data Science",98
SK0121,Feature Engineering,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",99
SK0122,Feature Engineering,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",100
SK0123,Feature Engineering,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",60
SK0124,Feature Engineering,Data Science,Expert,High,Technical,"IT, AI & Data Science",61
SK0125,Feature Engineering,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",62
SK0126,Feature Engineering,Data Science,High Demand,High,Technical,"IT, AI & Data Science",63
SK0127,Statistics,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",64
SK0128,Statistics,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",65
SK0129,Statistics,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",66
SK0130,Statistics,Data Science,Expert,High,Technical,"IT, AI & Data Science",67
SK0131,Statistics,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",68
SK0132,Statistics,Data Science,High Demand,High,Technical,"IT, AI & Data Science",69
SK0133,Machine Learning,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",70
SK0134,Machine Learning,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",71
SK0135,Machine Learning,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",72
SK0136,Machine Learning,Data Science,Expert,High,Technical,"IT, AI & Data Science",73
SK0137,Machine Learning,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",74
SK0138,Machine Learning,Data Science,High Demand,High,Technical,"IT, AI & Data Science",75
SK0139,Deep Learning,Data Science,Beginner,Medium,Technical,"IT, AI & Data Science",76
SK0140,Deep Learning,Data Science,Intermediate,Medium,Technical,"IT, AI & Data Science",77
SK0141,Deep Learning,Data Science,Advanced,Medium,Technical,"IT, AI & Data Science",78
SK0142,Deep Learning,Data Science,Expert,High,Technical,"IT, AI & Data Science",79
SK0143,Deep Learning,Data Science,Industry Standard,High,Technical,"IT, AI & Data Science",80
SK0144,Deep Learning,Data Science,High Demand,High,Technical,"IT, AI & Data Science",81
SK0145,spaCy,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",82
SK0146,spaCy,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",83
SK0147,spaCy,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",84
SK0148,spaCy,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",85
SK0149,spaCy,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",86
SK0150,spaCy,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",87
SK0151,NLTK,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",88
SK0152,NLTK,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",89
SK0153,NLTK,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",90
SK0154,NLTK,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",91
SK0155,NLTK,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",92
SK0156,NLTK,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",93
SK0157,Transformers,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",94
SK0158,Transformers,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",95
SK0159,Transformers,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",96
SK0160,Transformers,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",97
SK0161,Transformers,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",98
SK0162,Transformers,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",99
SK0163,Hugging Face,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",100
SK0164,Hugging Face,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",60
SK0165,Hugging Face,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",61
SK0166,Hugging Face,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",62
SK0167,Hugging Face,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",63
SK0168,Hugging Face,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",64
SK0169,LangChain,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",65
SK0170,LangChain,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",66
SK0171,LangChain,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",67
SK0172,LangChain,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",68
SK0173,LangChain,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",69
SK0174,LangChain,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",70
SK0175,Prompt Engineering,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",71
SK0176,Prompt Engineering,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",72
SK0177,Prompt Engineering,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",73
SK0178,Prompt Engineering,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",74
SK0179,Prompt Engineering,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",75
SK0180,Prompt Engineering,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",76
SK0181,LLMs,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",77
SK0182,LLMs,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",78
SK0183,LLMs,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",79
SK0184,LLMs,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",80
SK0185,LLMs,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",81
SK0186,LLMs,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",82
SK0187,RAG,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",83
SK0188,RAG,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",84
SK0189,RAG,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",85
SK0190,RAG,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",86
SK0191,RAG,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",87
SK0192,RAG,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",88
SK0193,BERT,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",89
SK0194,BERT,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",90
SK0195,BERT,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",91
SK0196,BERT,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",92
SK0197,BERT,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",93
SK0198,BERT,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",94
SK0199,OpenAI API,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",95
SK0200,OpenAI API,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",96
SK0201,OpenAI API,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",97
SK0202,OpenAI API,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",98
SK0203,OpenAI API,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",99
SK0204,OpenAI API,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",100
SK0205,Gemini API,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",60
SK0206,Gemini API,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",61
SK0207,Gemini API,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",62
SK0208,Gemini API,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",63
SK0209,Gemini API,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",64
SK0210,Gemini API,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",65
SK0211,Sentence Transformers,NLP & AI,Beginner,Medium,Technical,"IT, AI & Data Science",66
SK0212,Sentence Transformers,NLP & AI,Intermediate,Medium,Technical,"IT, AI & Data Science",67
SK0213,Sentence Transformers,NLP & AI,Advanced,Medium,Technical,"IT, AI & Data Science",68
SK0214,Sentence Transformers,NLP & AI,Expert,High,Technical,"IT, AI & Data Science",69
SK0215,Sentence Transformers,NLP & AI,Industry Standard,High,Technical,"IT, AI & Data Science",70
SK0216,Sentence Transformers,NLP & AI,High Demand,High,Technical,"IT, AI & Data Science",71
SK0217,SQL,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",72
SK0218,SQL,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",73
SK0219,SQL,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",74
SK0220,SQL,Databases,Expert,High,Technical,"IT, AI & Data Science",75
SK0221,SQL,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",76
SK0222,SQL,Databases,High Demand,High,Technical,"IT, AI & Data Science",77
SK0223,MySQL,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",78
SK0224,MySQL,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",79
SK0225,MySQL,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",80
SK0226,MySQL,Databases,Expert,High,Technical,"IT, AI & Data Science",81
SK0227,MySQL,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",82
SK0228,MySQL,Databases,High Demand,High,Technical,"IT, AI & Data Science",83
SK0229,PostgreSQL,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",84
SK0230,PostgreSQL,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",85
SK0231,PostgreSQL,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",86
SK0232,PostgreSQL,Databases,Expert,High,Technical,"IT, AI & Data Science",87
SK0233,PostgreSQL,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",88
SK0234,PostgreSQL,Databases,High Demand,High,Technical,"IT, AI & Data Science",89
SK0235,MongoDB,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",90
SK0236,MongoDB,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",91
SK0237,MongoDB,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",92
SK0238,MongoDB,Databases,Expert,High,Technical,"IT, AI & Data Science",93
SK0239,MongoDB,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",94
SK0240,MongoDB,Databases,High Demand,High,Technical,"IT, AI & Data Science",95
SK0241,SQLite,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",96
SK0242,SQLite,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",97
SK0243,SQLite,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",98
SK0244,SQLite,Databases,Expert,High,Technical,"IT, AI & Data Science",99
SK0245,SQLite,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",100
SK0246,SQLite,Databases,High Demand,High,Technical,"IT, AI & Data Science",60
SK0247,Oracle,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",61
SK0248,Oracle,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",62
SK0249,Oracle,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",63
SK0250,Oracle,Databases,Expert,High,Technical,"IT, AI & Data Science",64
SK0251,Oracle,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",65
SK0252,Oracle,Databases,High Demand,High,Technical,"IT, AI & Data Science",66
SK0253,Redis,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",67
SK0254,Redis,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",68
SK0255,Redis,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",69
SK0256,Redis,Databases,Expert,High,Technical,"IT, AI & Data Science",70
SK0257,Redis,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",71
SK0258,Redis,Databases,High Demand,High,Technical,"IT, AI & Data Science",72
SK0259,Firebase,Databases,Beginner,Medium,Technical,"IT, AI & Data Science",73
SK0260,Firebase,Databases,Intermediate,Medium,Technical,"IT, AI & Data Science",74
SK0261,Firebase,Databases,Advanced,Medium,Technical,"IT, AI & Data Science",75
SK0262,Firebase,Databases,Expert,High,Technical,"IT, AI & Data Science",76
SK0263,Firebase,Databases,Industry Standard,High,Technical,"IT, AI & Data Science",77
SK0264,Firebase,Databases,High Demand,High,Technical,"IT, AI & Data Science",78
SK0265,AWS,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",79
SK0266,AWS,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",80
SK0267,AWS,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",81
SK0268,AWS,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",82
SK0269,AWS,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",83
SK0270,AWS,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",84
SK0271,Azure,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",85
SK0272,Azure,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",86
SK0273,Azure,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",87
SK0274,Azure,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",88
SK0275,Azure,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",89
SK0276,Azure,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",90
SK0277,GCP,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",91
SK0278,GCP,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",92
SK0279,GCP,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",93
SK0280,GCP,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",94
SK0281,GCP,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",95
SK0282,GCP,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",96
SK0283,Docker,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",97
SK0284,Docker,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",98
SK0285,Docker,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",99
SK0286,Docker,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",100
SK0287,Docker,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",60
SK0288,Docker,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",61
SK0289,Kubernetes,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",62
SK0290,Kubernetes,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",63
SK0291,Kubernetes,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",64
SK0292,Kubernetes,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",65
SK0293,Kubernetes,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",66
SK0294,Kubernetes,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",67
SK0295,Git,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",68
SK0296,Git,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",69
SK0297,Git,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",70
SK0298,Git,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",71
SK0299,Git,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",72
SK0300,Git,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",73
SK0301,GitHub,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",74
SK0302,GitHub,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",75
SK0303,GitHub,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",76
SK0304,GitHub,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",77
SK0305,GitHub,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",78
SK0306,GitHub,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",79
SK0307,CI/CD,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",80
SK0308,CI/CD,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",81
SK0309,CI/CD,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",82
SK0310,CI/CD,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",83
SK0311,CI/CD,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",84
SK0312,CI/CD,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",85
SK0313,Terraform,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",86
SK0314,Terraform,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",87
SK0315,Terraform,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",88
SK0316,Terraform,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",89
SK0317,Terraform,Cloud & DevOps,Industry Standard,High,Technical,"IT, AI & Data Science",90
SK0318,Terraform,Cloud & DevOps,High Demand,High,Technical,"IT, AI & Data Science",91
SK0319,Linux,Cloud & DevOps,Beginner,Medium,Technical,"IT, AI & Data Science",92
SK0320,Linux,Cloud & DevOps,Intermediate,Medium,Technical,"IT, AI & Data Science",93
SK0321,Linux,Cloud & DevOps,Advanced,Medium,Technical,"IT, AI & Data Science",94
SK0322,Linux,Cloud & DevOps,Expert,High,Technical,"IT, AI & Data Science",95
