Question_ID,Job_Role,Skill,Difficulty,Question_Type,Question,Expected_Key_Points,Sample_Answer
Q0029,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0030,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0031,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0032,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0033,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0034,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0035,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0036,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0037,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0038,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0039,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0040,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0041,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0042,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0043,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0044,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0045,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0046,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0047,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0048,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0049,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0050,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0051,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0052,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0053,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0054,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0055,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0056,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0057,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0058,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0059,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0060,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0061,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0062,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0063,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0064,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0065,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0066,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0067,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0068,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0069,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0070,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0071,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0072,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0073,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0074,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0075,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0076,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0077,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0078,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0079,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0080,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0081,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0082,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0083,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0084,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0085,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0086,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0087,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0088,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0089,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0090,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0091,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0092,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0093,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0094,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0095,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0096,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0097,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0098,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0099,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0100,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0101,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0102,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0103,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0104,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0105,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0106,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0107,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0108,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0109,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0110,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0111,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0112,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0113,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0114,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0115,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0116,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0117,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0118,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0119,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0120,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0121,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0122,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0123,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0124,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0125,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0126,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0127,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0128,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0129,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0130,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0131,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0132,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0133,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0134,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0135,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0136,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0137,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0138,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0139,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0140,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0141,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0142,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0143,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0144,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0145,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0146,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0147,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0148,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0149,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0150,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0151,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0152,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0153,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0154,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0155,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0156,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0157,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0158,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0159,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0160,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0161,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0162,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0163,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0164,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0165,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0166,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0167,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0168,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0169,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0170,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0171,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0172,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0173,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0174,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0175,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0176,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0177,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0178,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0179,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0180,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0181,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0182,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0183,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0184,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0185,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0186,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0187,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0188,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0189,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0190,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0191,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0192,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0193,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0194,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0195,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0196,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0197,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0198,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0199,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0200,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0201,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
Q0202,Data Analyst,Excel,Intermediate,Technical,What is a Pivot Table and when would you use it?,Summarizing and analyzing data.,To be generated by the AI interview assistant.
Q0203,Data Analyst,Statistics,Advanced,Technical,What is the difference between mean and median?,Definitions and use cases.,To be generated by the AI interview assistant.
Q0204,Data Analyst,Power BI,Beginner,Technical,What are DAX measures?,Calculated measures using DAX.,To be generated by the AI interview assistant.
Q0205,Data Analyst,Python,Intermediate,Coding,Write Python code to remove duplicates from a list.,Use set() or loop.,To be generated by the AI interview assistant.
Q0206,Data Scientist,Machine Learning,Beginner,Technical,Explain overfitting and underfitting.,Bias-variance tradeoff.,To be generated by the AI interview assistant.
Q0207,Data Scientist,Python,Intermediate,Coding,How do you handle missing values in Pandas?,"fillna(), dropna().",To be generated by the AI interview assistant.
Q0208,Data Scientist,Deep Learning,Advanced,Technical,What is backpropagation?,Gradient-based weight updates.,To be generated by the AI interview assistant.
Q0209,Data Scientist,Statistics,Beginner,Technical,Explain p-value.,Hypothesis testing.,To be generated by the AI interview assistant.
Q0210,Data Scientist,NLP,Intermediate,Technical,What is TF-IDF?,Text feature representation.,To be generated by the AI interview assistant.
Q0211,ML Engineer,TensorFlow,Beginner,Technical,What is TensorFlow?,Deep learning framework.,To be generated by the AI interview assistant.
Q0212,ML Engineer,PyTorch,Intermediate,Technical,Difference between TensorFlow and PyTorch.,Execution models.,To be generated by the AI interview assistant.
Q0213,ML Engineer,Docker,Advanced,Technical,Why use Docker in ML?,Deployment consistency.,To be generated by the AI interview assistant.
Q0214,ML Engineer,MLOps,Beginner,Scenario,Describe an ML deployment pipeline.,Training to production.,To be generated by the AI interview assistant.
Q0215,ML Engineer,Python,Intermediate,Coding,Implement linear regression in Python.,Basic ML implementation.,To be generated by the AI interview assistant.
Q0216,HR,Communication,Beginner,HR,Tell me about yourself.,Concise professional introduction.,To be generated by the AI interview assistant.
Q0217,HR,Leadership,Intermediate,HR,Describe a challenging situation.,STAR method.,To be generated by the AI interview assistant.
Q0218,HR,Teamwork,Advanced,HR,How do you resolve conflicts?,Communication and collaboration.,To be generated by the AI interview assistant.
Q0219,HR,Career,Beginner,HR,Why should we hire you?,Relevant strengths.,To be generated by the AI interview assistant.
Q0220,HR,Goals,Intermediate,HR,Where do you see yourself in 5 years?,Growth-oriented answer.,To be generated by the AI interview assistant.
Q0221,Data Analyst,SQL,Beginner,Technical,Explain the difference between INNER JOIN and LEFT JOIN.,Understanding of joins with examples.,To be generated by the AI interview assistant.
