Path_ID,Current_Role,Next_Role,Required_Skills,Recommended_Courses,Estimated_Time,Difficulty,Average_Salary,Industry
PATH0064,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0065,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0066,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0067,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0068,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0069,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0070,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0071,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0072,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0073,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0074,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0075,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0076,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0077,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0078,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0079,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0080,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0081,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0082,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0083,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0084,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0085,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0086,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0087,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0088,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0089,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0090,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0091,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0092,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0093,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0094,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0095,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0096,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0097,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0098,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0099,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0100,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0101,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0102,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0103,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0104,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0105,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0106,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0107,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0108,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0109,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0110,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0111,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0112,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0113,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0114,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0115,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0116,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0117,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0118,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0119,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0120,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0121,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0122,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0123,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0124,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0125,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0126,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0127,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0128,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0129,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0130,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0131,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0132,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0133,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0134,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0135,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0136,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0137,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0138,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0139,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0140,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0141,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0142,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0143,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0144,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0145,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
PATH0146,Backend Developer,Full Stack Developer,React;Node.js;JavaScript;HTML;CSS,CRS0220;CRS0250,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0147,Machine Learning Engineer,AI Engineer,TensorFlow;PyTorch;LLMs;Prompt Engineering,CRS0280;CRS0300,8 Months,Advanced,₹15-30 LPA,"AI, Data Science & Software"
PATH0148,AI Engineer,Generative AI Engineer,RAG;LangChain;Vector Databases;Transformers,CRS0320;CRS0340,8 Months,Advanced,₹20-40 LPA,"AI, Data Science & Software"
PATH0149,Cloud Engineer,DevOps Engineer,Docker;Kubernetes;Terraform;CI/CD,CRS0360;CRS0380,6 Months,Intermediate,₹10-18 LPA,"AI, Data Science & Software"
PATH0150,DevOps Engineer,Cloud Architect,AWS;Azure;Security;Infrastructure as Code,CRS0400;CRS0420,12 Months,Advanced,₹20-35 LPA,"AI, Data Science & Software"
PATH0151,Data Analyst,Data Scientist,Python;Machine Learning;Statistics;Scikit-learn,CRS0001;CRS0045;CRS0102,6 Months,Intermediate,₹8-15 LPA,"AI, Data Science & Software"
PATH0152,Data Scientist,Senior Data Scientist,Deep Learning;MLOps;AWS;LLMs,CRS0110;CRS0155;CRS0201,12 Months,Advanced,₹15-28 LPA,"AI, Data Science & Software"
PATH0153,Data Analyst,BI Developer,Power BI;DAX;SQL;Excel,CRS0030;CRS0060,4 Months,Beginner,₹6-12 LPA,"AI, Data Science & Software"
PATH0154,BI Developer,Analytics Manager,Leadership;SQL;Power BI;Python,CRS0090;CRS0120,8 Months,Intermediate,₹12-20 LPA,"AI, Data Science & Software"
PATH0155,Python Developer,Backend Developer,FastAPI;Docker;PostgreSQL;Git,CRS0130;CRS0180,5 Months,Intermediate,₹7-14 LPA,"AI, Data Science & Software"
